"city_ID","most_recent_observation","most_recent_observation_type","scientific_name","city","state","longitude_coordinate","latitude_coordinate","address","native","greater_metro","tree_ID","planted_date","retired_date","common_name","location_type","zipcode","neighborhood","location_name","ward","district","overhead_utility","diameter_breast_height_CM","condition","height_M","height_binned_M","diameter_breast_height_binned_CM","percent_population"
32645,2016,"inventory_date","Lagerstroemia indica","Atlanta","Georgia",-84.528683,33.709697,"1800 Niskey Lake Trl","introduced","Atlanta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32646,2016,"inventory_date","Lagerstroemia indica","Atlanta","Georgia",-84.528706,33.709749,"1800 Niskey Lake Trl","introduced","Atlanta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32647,2016,"inventory_date","Lagerstroemia indica","Atlanta","Georgia",-84.528736,33.709833,"1800 Niskey Lake Trl","introduced","Atlanta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32648,2016,"inventory_date","Lagerstroemia indica","Atlanta","Georgia",-84.528758,33.7099,"1800 Niskey Lake Trl","introduced","Atlanta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32649,2016,"inventory_date","Lagerstroemia indica","Atlanta","Georgia",-84.528743,33.710023,"1800 Niskey Lake Trl","introduced","Atlanta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32650,2016,"inventory_date","Chionanthus virginicus","Atlanta","Georgia",-84.528885,33.710168,"1800 Niskey Lake Trl","naturally_occurring","Atlanta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27660,2015,"inventory_date","Franklinia alatamaha","Atlanta","Georgia",-84.361521,33.814579,"1801 Cedar Chase Ln","naturally_occurring","Atlanta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27661,2015,"inventory_date","Franklinia alatamaha","Atlanta","Georgia",-84.361703,33.81459,"1801 Cedar Chase Ln","naturally_occurring","Atlanta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27662,2015,"inventory_date","Franklinia alatamaha","Atlanta","Georgia",-84.36181,33.814601,"1801 Cedar Chase Ln","naturally_occurring","Atlanta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27663,2015,"inventory_date","Franklinia alatamaha","Atlanta","Georgia",-84.361834,33.814634,"1801 Cedar Chase Ln","naturally_occurring","Atlanta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27664,2015,"inventory_date","Franklinia alatamaha","Atlanta","Georgia",-84.361777,33.814714,"1801 Cedar Chase Ln","naturally_occurring","Atlanta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27665,2015,"inventory_date","Liriodendron tulipifera","Atlanta","Georgia",-84.36189,33.814604,"1801 Cedar Chase Ln","naturally_occurring","Atlanta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27666,2015,"inventory_date","Liriodendron tulipifera","Atlanta","Georgia",-84.361513,33.815,"1801 Cedar Chase Ln","naturally_occurring","Atlanta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27667,2015,"inventory_date","Halesia diptera","Atlanta","Georgia",-84.361621,33.815152,"1801 Cedar Chase Ln","naturally_occurring","Atlanta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27668,2015,"inventory_date","Nyssa sylvatica","Atlanta","Georgia",-84.361896,33.815315,"1801 Cedar Chase Ln","naturally_occurring","Atlanta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27669,2015,"inventory_date","Halesia diptera","Atlanta","Georgia",-84.361953,33.815418,"1801 Cedar Chase Ln","naturally_occurring","Atlanta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27670,2015,"inventory_date","Ulmus americana","Atlanta","Georgia",-84.363111,33.815105,"1801 Cedar Chase Ln","naturally_occurring","Atlanta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27671,2015,"inventory_date","Halesia diptera","Atlanta","Georgia",-84.363291,33.814987,"1801 Cedar Chase Ln","naturally_occurring","Atlanta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27672,2015,"inventory_date","Halesia diptera","Atlanta","Georgia",-84.36342,33.814914,"1801 Cedar Chase Ln","naturally_occurring","Atlanta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27673,2015,"inventory_date","Franklinia alatamaha","Atlanta","Georgia",-84.363552,33.814857,"1801 Cedar Chase Ln","naturally_occurring","Atlanta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27674,2015,"inventory_date","Quercus lyrata","Atlanta","Georgia",-84.363734,33.817342,"1801 Cedar Chase Ln","naturally_occurring","Atlanta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27675,2015,"inventory_date","Nyssa sylvatica","Atlanta","Georgia",-84.363583,33.817549,"1801 Cedar Chase Ln","naturally_occurring","Atlanta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27676,2015,"inventory_date","Fagus grandiflora","Atlanta","Georgia",-84.363629,33.817699,"1801 Cedar Chase Ln","no_info","Atlanta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27677,2015,"inventory_date","Ulmus americana","Atlanta","Georgia",-84.364032,33.817704,"1801 Cedar Chase Ln","naturally_occurring","Atlanta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
